                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1281,                0.77435,                 1.0416,                0.64383,                0.75677,                0.71309,                  0.402,                 1.5183,                 1.2511,                   1.36,               0.005545,               0.005545,               0.005545
                     47,                 1.1666,                0.76872,                 1.0719,                0.68346,                 0.7653,                0.73951,                0.40508,                 1.4939,                 1.2674,                 1.3396,               0.005446,               0.005446,               0.005446
                     48,                 1.1775,                0.81382,                 1.1128,                0.74164,                0.76281,                0.75326,                0.41932,                 1.5258,                 1.3403,                 1.3874,               0.005347,               0.005347,               0.005347
                     49,                   1.21,                0.76835,                 1.0747,                0.63011,                0.81258,                0.74761,                0.43464,                  1.466,                 1.2185,                 1.3588,               0.005248,               0.005248,               0.005248
                     50,                 1.0919,                0.70944,                 1.0531,                0.72996,                0.72434,                0.75454,                0.40823,                  1.527,                 1.2654,                 1.3635,               0.005149,               0.005149,               0.005149
                     51,                 1.1417,                0.75903,                 1.0746,                0.72546,                0.73029,                0.74969,                0.40063,                 1.5173,                 1.2388,                 1.3616,                0.00505,                0.00505,                0.00505
                     52,                 1.1047,                0.73349,                 1.0674,                0.69563,                0.74098,                0.72234,                0.37416,                 1.6513,                 1.3569,                 1.4254,               0.004951,               0.004951,               0.004951
                     53,                 1.1848,                0.72235,                 1.1004,                0.67718,                0.75294,                0.72286,                0.38559,                 1.5451,                 1.3678,                 1.3814,               0.004852,               0.004852,               0.004852
                     54,                 1.0907,                0.70995,                 1.0595,                0.68889,                0.76111,                 0.7194,                 0.3931,                 1.5085,                 1.2882,                 1.3911,               0.004753,               0.004753,               0.004753
                     55,                 1.1386,                0.75853,                 1.0569,                 0.6816,                0.74455,                0.70718,                0.37858,                 1.5393,                 1.2864,                 1.3976,               0.004654,               0.004654,               0.004654
                     56,                  1.099,                0.69603,                  1.061,                0.65821,                0.77847,                0.72986,                 0.4037,                 1.4712,                 1.2504,                 1.3813,               0.004555,               0.004555,               0.004555
                     57,                 1.0688,                  0.715,                 1.0638,                  0.669,                 0.8005,                0.72635,                0.38366,                 1.4831,                 1.2346,                 1.4001,               0.004456,               0.004456,               0.004456
                     58,                   1.05,                0.68759,                 1.0483,                0.67354,                0.78079,                 0.7215,                0.39352,                 1.4709,                  1.285,                 1.3879,               0.004357,               0.004357,               0.004357
                     59,                 1.0638,                0.69704,                 1.0305,                0.65841,                 0.8244,                0.70793,                0.37803,                 1.4672,                 1.2927,                 1.3929,               0.004258,               0.004258,               0.004258
                     60,                  1.105,                0.72148,                 1.0673,                0.66776,                 0.7993,                0.71501,                0.39822,                 1.4314,                 1.2655,                 1.3771,               0.004159,               0.004159,               0.004159
                     61,                 1.0542,                0.73406,                 1.0519,                0.71516,                 0.7179,                0.70765,                0.38333,                  1.488,                  1.259,                 1.3934,                0.00406,                0.00406,                0.00406
                     62,                 1.0481,                0.69651,                 1.0501,                0.68307,                0.70929,                0.70373,                0.38072,                 1.4961,                 1.2411,                 1.3745,               0.003961,               0.003961,               0.003961
                     63,                 1.1042,                0.72343,                 1.0528,                0.69868,                0.72038,                0.69049,                0.38017,                 1.5086,                 1.2898,                 1.3948,               0.003862,               0.003862,               0.003862
                     64,                 1.0349,                0.67995,                 1.0228,                0.65896,                0.78158,                0.68396,                0.38427,                 1.4744,                 1.2415,                 1.3752,               0.003763,               0.003763,               0.003763
                     65,                 1.0234,                0.64296,                  1.024,                0.66556,                0.75279,                0.67423,                0.37477,                 1.4693,                 1.2795,                 1.3763,               0.003664,               0.003664,               0.003664
                     66,                 1.0204,                0.65685,                 1.0194,                0.66763,                0.79536,                0.68941,                0.36564,                 1.4923,                 1.2885,                 1.3599,               0.003565,               0.003565,               0.003565
                     67,                  1.005,                0.66483,                 1.0182,                0.68371,                0.75613,                 0.6874,                0.37599,                 1.5083,                 1.2499,                 1.3626,               0.003466,               0.003466,               0.003466
                     68,                 1.0286,                0.65519,                 1.0255,                0.69024,                0.74729,                0.69383,                0.37477,                 1.4582,                 1.2362,                  1.341,               0.003367,               0.003367,               0.003367
                     69,                0.99335,                0.64917,                 1.0246,                 0.6629,                0.76242,                0.69341,                0.39385,                 1.4339,                 1.2146,                 1.3272,               0.003268,               0.003268,               0.003268
                     70,                0.96629,                 0.6215,                 1.0131,                0.69697,                0.76596,                0.70315,                0.39147,                 1.3973,                 1.2239,                 1.3223,               0.003169,               0.003169,               0.003169
